Début;Fin;Nuits;Gîte(s);Adultes;Enfants;ID Beds24;Origine;TTC B24;Taxe B24;ID Taxesejour;Base HT;Taxe Séjour;Total;Statut
03/04/2026;06/04/2026;3;Zetoil;2;0;84792708;Direct;0,00;;;;;;n/a
03/04/2026;09/04/2026;6;Sun;2;1;81994106;Airbnb;608,40;;;;;;—
04/04/2026;17/04/2026;13;Zandoli;2;2;81349082;Direct;1300,00;;;1273,26;63,66;1363,66;add
09/04/2026;17/04/2026;8;Sun;3;1;82940510;Booking.com;960,00;;;;;;—
10/04/2026;20/04/2026;10;Zetoil;6;3;80230619;Direct;2100,00;36,00;;2056,81;102,84;2202,84;add ↑
19/04/2026;26/04/2026;7;Moon+Sun;2;3;80718392,85578694;Direct;1503,60;;;1472,67;73,63;1577,23;add
22/04/2026;05/05/2026;13;Moon;0;0;66020613;Airbnb;0,00;;;;;;—
29/04/2026;08/05/2026;9;Moon;2;0;77785772;Direct;900,00;0,05;;881,49;44,07;944,07;add ↑
01/05/2026;03/05/2026;2;Zetoil;12;0;84123370;Direct;600,00;75,00;;587,66;29,38;629,38;add ↑
13/05/2026;19/05/2026;6;Moon;2;0;82948953;Direct;0,00;;;;;;n/a
20/05/2026;22/05/2026;2;Zetoil;3;10;80804587;Direct;400,00;5,45;;391,77;19,59;419,59;add ↑
23/05/2026;02/06/2026;10;Moon;2;0;82949111;Direct;0,00;;;;;;n/a

TOTAUX DIRECTS;;;;;;;;6803,60;116,50;;6663,66;333,18;7136,78;
PLATEFORMES;;;;;;;;1568,40;;;;;;
